Go.	යන්න.
Tom didn't have the courage to ask Mary out.	ටොම්ට මේරිගෙන් එළියට යන්න අහන්න ධෛර්යයක් තිබුණේ නැහැ.
Tom didn't let his children go out at night.	ටොම් තම දරුවන්ට රාත්‍රියේ පිටතට යාමට ඉඩ දුන්නේ නැත.
Tom doesn't find this as funny as Mary does.	ටොම්ට මේක මේරි තරම් විහිලුවක් වෙන්නේ නැහැ.
Tom doesn't have a car. He just uses Mary's.	ටොම්ට කාර් එකක් නැහැ. ඔහු පාවිච්චි කරන්නේ මේරිගේ එක විතරයි.
Tom fell asleep watching the Olympics on TV.	ඔලිම්පික් උළෙල රූපවාහිනියෙන් නරඹමින් ටොම්ට නින්ද ගියේය.
Tom finished reading that book in one night.	ටොම් එක රැයකින් එම පොත කියවා අවසන් කළේය.
Tom got angry with the high school students.	ටොම් උසස් පාසැල් සිසුන් සමඟ කෝපයට පත් විය.
Tom had a bottle of poison in his briefcase.	ටොම්ගේ බෑගයේ වස බෝතලයක් තිබුණා.
Tom had a near death experience last summer.	පසුගිය ගිම්හානයේදී ටොම්ට මරණාසන්න අත්දැකීමක් තිබුණා.
Tom has a funny way of laughing, doesn't he?	ටොම්ට හිනාවෙන විදිහක් තියෙනවා නේද?
Tom is busy making breakfast for the family.	ටොම් පවුලේ අයට උදේ ආහාරය සෑදීමේ කාර්යබහුලයි.
Tom is in the living room watching the news.	ටොම් සාලයට වෙලා ප්‍රවෘත්ති බලනවා.
Tom is more experienced in business than me.	ටොම් මට වඩා ව්‍යාපාරයේ පළපුරුදු කෙනෙක්.
Tom is sitting at the table near the window.	ටොම් ජනේලය අසල මේසයේ වාඩි වී සිටී.
Tom is the only one not invited to my party.	මගේ සාදයට ආරාධනා නොකළ එකම තැනැත්තා ටොම් ය.
Tom is three inches taller than his wife is.	ටොම් ඔහුගේ බිරිඳට වඩා අඟල් තුනක් උසයි.
Tom isn't really good at playing the guitar.	ටොම් ඇත්තටම ගිටාර් වාදනයට දක්ෂ නැහැ.
Tom isn't the smartest student in the class.	ටොම් පන්තියේ දක්ෂම ශිෂ්‍යයා නොවේ.
Tom just announced he'd be moving to Boston.	ටොම් දැන් නිවේදනය කළේ ඔහු බොස්ටන් වෙත යන බවයි.
Tom knew that Mary was going to be arrested.	මේරි අත්අඩංගුවට ගැනීමට යන බව ටොම් දැන සිටියේය.
Tom knows that Mary doesn't know the answer.	මේරි උත්තරේ දන්නේ නැති බව ටොම් දන්නවා.
Tom looked exactly like his profile picture.	ටොම් හරියටම ඔහුගේ පැතිකඩ පින්තූරයට සමාන විය.
Tom looked nothing like his profile picture.	ටොම් ඔහුගේ පැතිකඩ පින්තූරයට සමාන කිසිවක් පෙනුනේ නැත.
Tom neither confirmed nor denied the rumors.	ටොම් කටකතා තහවුරු කළේ හෝ ප්‍රතික්ෂේප කළේ නැත.
Tom noticed Mary was wearing a wedding ring.	මේරි මංගල මුද්දක් පැළඳ සිටින බව ටොම් දුටුවේය.
Tom noticed a wedding ring on Mary's finger.	ටොම් මේරිගේ ඇඟිල්ලේ මංගල මුද්දක් දුටුවේය.
Tom only comes to visit once in a blue moon.	ටොම් බැලීමට පැමිණෙන්නේ නිල් සඳක එක් වරක් පමණි.
Tom opened the window to get some fresh air.	ටොම් නැවුම් වාතය ලබා ගැනීමට කවුළුව විවෘත කළේය.
Tom picked up a pillow and threw it at Mary.	ටොම් කොට්ටයක් ගෙන මරියාට විසි කළේය.
Tom picked up the phone and started talking.	ටොම් දුරකථනය ගෙන කතා කරන්නට විය.
Tom plays the guitar almost as well as Mary.	ටොම් මේරි වගේම ගිටාරය වාදනය කරනවා.
Tom put a star on top of the Christmas tree.	ටොම් නත්තල් ගස මුදුනේ තරුවක් තැබුවේය.
Tom put on his pajamas and climbed into bed.	ටොම් පිජාමා ඇඳගෙන ඇඳට නැග්ගා.
Tom put salt in his coffee instead of sugar.	ටොම් ඔහුගේ කෝපි වලට සීනි වෙනුවට ලුණු දැමීය.
Tom rubbed his hands in front of the heater.	ටොම් හීටරය ඉදිරිපිට දෑත් අතුල්ලමින් සිටියේය.
Tom said that he'd never tried water skiing.	ටොම් පැවසුවේ ඔහු කිසි විටෙකත් වෝටර් ස්කීං කිරීමට උත්සාහ නොකළ බවයි.
Tom should've discussed it with his parents.	ටොම් එය ඔහුගේ දෙමාපියන් සමඟ සාකච්ඡා කළ යුතුව තිබුණි.
Tom should've gone to the dentist yesterday.	ටොම් ඊයේ දන්ත වෛද්‍යවරයා ළඟට යන්න තිබුණා.
Tom speaks Japanese better than Japanese do.	ටොම් ජපන් භාෂාවට වඩා හොඳින් ජපන් භාෂාව කතා කරයි.
Tom started studying French three years ago.	ටොම් වසර තුනකට පෙර ප්රංශ භාෂාව ඉගෙන ගැනීමට පටන් ගත්තේය.
Tom stopped to take a close look at the car.	ටොම් නැවතුනේ මෝටර් රථය දෙස සමීපව බැලීමටය.
Tom swore he didn't tell anybody our secret.	ටොම් දිවුරුම් දුන්නේ ඔහු අපේ රහස කිසිවෙකුට නොකියන බවයි.
Tom told Mary that John was looking for her.	ජෝන් ඇයව සොයන බව ටොම් මේරිට පැවසුවා.
Tom tried to pick his keys up with his toes.	ටොම් ඔහුගේ ඇඟිලිවලින් යතුරු ලබා ගැනීමට උත්සාහ කළේය.
Tom tried to pick up his keys with his toes.	ටොම් ඔහුගේ ඇඟිලිවලින් යතුරු ලබා ගැනීමට උත්සාහ කළේය.
Tom usually takes a shower before breakfast.	ටොම් සාමාන්යයෙන් උදෑසන ආහාරයට පෙර ස්නානය කරයි.
Tom wanted to know why Mary didn't like him.	ටොම්ට දැන ගැනීමට අවශ්‍ය වූයේ මේරි ඔහුට අකමැති වීමට හේතුවයි.
Tom was badly injured in a traffic accident.	රථවාහන අනතුරකින් ටොම් දරුණු ලෙස තුවාල ලැබීය.
Tom will be released from prison next month.	ටොම් ලබන මාසේ හිරෙන් නිදහස් වෙනවා.
Tom won't admit it, but he's in big trouble.	ටොම් එය පිළිගන්නේ නැත, නමුත් ඔහු විශාල කරදරයක සිටී.
Tom's illness resulted from eating too much.	ටොම්ගේ අසනීපය ඇති වූයේ අධික ලෙස ආහාර ගැනීමෙනි.
Tom's novel has been translated into French.	ටොම්ගේ නවකතාව ප්රංශ භාෂාවට පරිවර්තනය කර ඇත.
Tom, could you shut up for just ten seconds?	ටොම්, ඔබට තත්පර දහයක් කට වසා සිටිය හැකිද?
Tomorrow, I'll return the money you lent me.	හෙට, මම ඔබ මට ණයට දුන් මුදල් ආපසු දෙන්නෙමි.
Tomorrow, I'm going to study at the library.	හෙට මම පුස්තකාලයේ පාඩම් කරන්න යනවා.
Try on this new suit to see if it fits well.	එය හොඳින් ගැලපේදැයි බැලීමට මෙම නව ඇඳුම උත්සාහ කරන්න.
Try to estimate how much you spent on books.	ඔබ පොත් සඳහා කොපමණ මුදලක් වියදම් කළාද යන්න තක්සේරු කිරීමට උත්සාහ කරන්න.
Upon hearing the news, she burst out crying.	ආරංචිය ඇසූ ඇය හඬා වැටුණාය.
Waking up is the opposite of going to sleep.	අවදි වීම නින්දට යාමේ ප්‍රතිවිරුද්ධයයි.
Was Tom the one who taught you how to dance?	ඔබට නටන්න ඉගැන්නුවේ ටොම්ද?
Was it raining this morning when you got up?	අද උදේ නැගිටිනකොට වැස්සද?
Was the movie you saw yesterday interesting?	ඊයේ බලපු චිත්‍රපටිය රසවත්ද?
Was there something you wanted to say to me?	ඔයාට මට කියන්න දෙයක් තිබුනද?
We couldn't go out because of the snowstorm.	හිම කුණාටුව නිසා අපිට එළියට යන්න බැරි වුණා.
We couldn't help but think that he was dead.	එයා මැරිලා කියලා අපිට හිතාගන්න බැරි වුණා.
We divided ten dollars among the five of us.	අපි පස්දෙනාට ඩොලර් දහයක් බෙදුවා.
We had a rough flight because of turbulence.	කැලඹීම නිසා අපට රළු ගුවන් ගමනක් සිදු විය.
We had hardly started when it began to rain.	වහින්න පටන් ගන්නකොට අපි පටන් අරන් තිබුණේ අමාරුවෙන්.
We had to leave for America on short notice.	කෙටි දැනුම්දීමකින් අපට ඇමරිකාවට යාමට සිදු විය.
We have a little time before the next train.	ඊළඟ කෝච්චියට කලින් අපිට පොඩි වෙලාවක් තියෙනවා.
We have no chance against those top players.	ඒ ප්‍රමුඛ ක්‍රීඩකයන්ට එරෙහිව අපට කිසිම අවස්ථාවක් නැහැ.
We have to allow for the delay of the train.	දුම්රිය ප්‍රමාදයට ඉඩ දිය යුතුයි.
We have to rent a room to hold the party in.	සාදය පැවැත්වීමට කාමරයක් කුලියට ගත යුතුය.
We lost sight of them over half an hour ago.	පැය භාගයකට පමණ පෙර අපට ඔවුන් පෙනීම නැති විය.
We searched the woods for the missing child.	අතුරුදන් වූ දරුවා සොයා අපි කැලේ සෙව්වා.
We thought it wise not to continue our trip.	අපි හිතුවා අපේ ගමන නොනවත්වා ගැනීම නුවණට හුරුයි කියලා.
We tried several things, but nothing worked.	අපි බොහෝ දේ උත්සාහ කළ නමුත් කිසිවක් සාර්ථක වූයේ නැත.
We want you to behave yourself during meals.	ආහාර ගැනීමේදී ඔබ හැසිරෙන ලෙස අපට අවශ්‍යයි.
We were supposed to leave Boston that night.	එදින රාත්‍රියේ අපි බොස්ටන් නුවරින් පිටත් වීමට නියමිතව තිබුණා.
We will have an English test this afternoon.	අද හවස අපිට ඉංග්‍රීසි පරීක්ෂණයක් තියෙනවා.
Were all of your children born in Australia?	ඔබේ දරුවන් සියල්ලෝම ඕස්ට්‍රේලියාවේ උපත ලැබූ අයද?
Were you at the library yesterday afternoon?	ඔබ ඊයේ දහවල් පුස්තකාලයේ සිටියාද?
Whales can remain submerged for a long time.	තල්මසුන්ට දිගු කලක් ජලයේ ගිලී සිටිය හැකිය.
What are some of your favorite French wines?	ඔබේ ප්‍රියතම ප්‍රංශ වයින් මොනවාද?
What did you eat when you were in Australia?	ඔස්ට්‍රේලියාවේ ඉන්නකොට මොනවද කෑවේ?
What do I have to do to make you believe me?	ඔබ මාව විශ්වාස කිරීමට මා කුමක් කළ යුතුද?
What do you say to a bus tour next Saturday?	ලබන සෙනසුරාදා බස් සංචාරයකට ඔබ කියන්නේ කුමක්ද?
What do you want to do for our next holiday?	අපගේ ඊළඟ නිවාඩුව සඳහා ඔබට කුමක් කිරීමට අවශ්‍යද?
What doesn't kill us only makes us stronger.	අපිව මරන්නේ නැති දේ අපිව ශක්තිමත් කරනවා විතරයි.
What he said was nothing less than a threat.	ඔහු කීවේ තර්ජනයකට වඩා අඩු දෙයක් නොවේ.
What in the world do you think you're doing?	ඔබ ලෝකයේ කුමක් කරන්නේ යැයි ඔබ සිතන්නේද?
What is your greatest source of inspiration?	ඔබේ ආශ්වාදයේ විශිෂ්ටතම මූලාශ්‍රය කුමක්ද?
What kind of music do you usually listen to?	ඔබ සාමාන්‍යයෙන් අසන්නේ කුමන ආකාරයේ සංගීතයක්ද?
What time are you going to leave for London?	ඔබ ලන්ඩනයට යාමට යන්නේ කීයටද?
What time do you think you'll likely arrive?	ඔබ කොපමණ වේලාවට පැමිණෙනු ඇතැයි ඔබ සිතනවාද?
What time will the train arrive in Yokohama?	දුම්රිය යොකොහාමා වෙත පැමිණෙන්නේ කීයටද?
What's your impression of the United States?	එක්සත් ජනපදය ගැන ඔබේ හැඟීම කුමක්ද?
When a child, I used to go fishing with him.	පොඩි කාලේ මම ඌත් එක්ක මාළු අල්ලන්න ගියා.
When was the last time you had a girlfriend?	ඔබට අවසන් වරට පෙම්වතියක් සිටියේ කවදාද?
When you have difficulties, I will help you.	ඔබට දුෂ්කරතා ඇති විට, මම ඔබට උදව් කරන්නෙමි.
Where have you been the past couple of days?	පහුගිය දවස් දෙකේ ඔයා කොහෙද හිටියේ?
Where is the accent on the word 'Australia?'	'ඕස්ට්‍රේලියාව' යන වචනයේ උච්චාරණය කොහෙද?
Where's the proof that he committed a crime?	ඔහු අපරාධයක් කළ බවට සාක්ෂි කොහෙද?
Which do you like better, Boston or Chicago?	ඔබ වඩාත් කැමති බොස්ටන් හෝ චිකාගෝ මොනවාද?
Which do you like better, apples or bananas?	ඔබ වඩා කැමති ඇපල් හෝ කෙසෙල් මොනවාද?
Which do you like better, apples or oranges?	ඔබ වඩා කැමති ඇපල් හෝ දොඩම් මොනවාද?
Which do you prefer, white wine or red wine?	ඔබ කැමති සුදු වයින් හෝ රතු වයින් මොනවාද?
Whichever you choose, you will be satisfied.	ඔබ කුමක් තෝරා ගත්තත්, ඔබ සෑහීමකට පත් වනු ඇත.
Who can tell what will happen in the future?	අනාගතයේදී කුමක් සිදුවේදැයි කිව හැක්කේ කාටද?
Why are you happy when someone else suffers?	තවත් කෙනෙක් දුක් විදින විට ඔබ සතුටු වන්නේ ඇයි?
Without your help, we couldn't have done it.	ඔබේ උදව් නොමැතිව අපට එය කළ නොහැකි විය.
Would you be so kind as to shut that window?	එම ජනේලය වසා දැමීමට තරම් ඔබ කරුණාවන්තද?
Would you let me think about it for a while?	මට ඒ ගැන ටිකක් හිතන්න ඉඩ දෙනවද?
Would you like to come to my parents' house?	ඔබ මගේ දෙමාපියන්ගේ නිවසට පැමිණීමට කැමතිද?
You are good at speaking French, aren't you?	ඔබ ප්‍රංශ භාෂාව කතා කිරීමට දක්ෂයි නේද?
You are really a hopeless idiot, aren't you?	ඔයා ඇත්තටම බලාපොරොත්තු නැති මෝඩයෙක් නේද?
You are the only one who can save the world.	ලෝකය බේරාගත හැක්කේ ඔබට පමණි.
You can see some wild rabbits in the forest.	කැලේ වල් හාවුන් ටිකක් දකින්න පුළුවන්.
You can see the sun setting from the window.	ජනේලයෙන් හිරු බැස යන ආකාරය ඔබට දැක ගත හැකිය.
You can't understand this sentence, can you?	ඔයාට මේ වාක්‍ය තේරුම් ගන්න බෑ නේද?
You cannot be too careful about your health.	ඔබේ සෞඛ්‍යය ගැන ඕනෑවට වඩා සැලකිලිමත් විය නොහැක.
You could make Tom do that if you wanted to.	ඔබට අවශ්‍ය නම් ටොම්ව එය කිරීමට සැලැස්විය හැක.
You don't have to come if you don't want to.	ඔබට අවශ්‍ය නැතිනම් ඔබ පැමිණිය යුතු නැත.
You don't need to write more than 400 words.	ඔබට වචන 400කට වඩා ලිවීමට අවශ්‍ය නැත.
You had better not associate with those men.	ඔබ ඒ මිනිසුන් සමඟ සම්බන්ධ නොවී සිටීම හොඳය.
You had no way of knowing that would happen.	එහෙම වෙයි කියලා ඔයාට දැනගන්න විදිහක් තිබුණේ නැහැ.
You haven't washed your hands yet, have you?	තාම අත හෝදලා නෑ නේද?
You made the mistake on purpose, didn't you?	ඔබ හිතාමතාම වරදක් කළා නේද?
You must observe the rules of the dormitory.	ඔබ නේවාසිකාගාරයේ නීති රීති පිළිපැදිය යුතුය.
You must take your parents advice seriously.	ඔබ ඔබේ දෙමාපියන්ගේ උපදෙස් බැරෑරුම් ලෙස ගත යුතුය.
You never know what you can do till you try.	ඔබ උත්සාහ කරන තුරු ඔබට කළ හැකි දේ ඔබ නොදනී.
You probably already know about our company.	ඔබ අපේ සමාගම ගැන දැනටමත් දන්නවා ඇති.
You should know better now you are eighteen.	දැන් ඔබට වයස අවුරුදු දහඅටක් බව ඔබ හොඳින් දැන සිටිය යුතුය.
You should learn how to use your dictionary.	ඔබේ ශබ්දකෝෂය භාවිතා කරන්නේ කෙසේදැයි ඔබ ඉගෙන ගත යුතුය.
You shouldn't impose your opinion on others.	ඔබ ඔබේ මතය අන් අය මත පැටවිය යුතු නැත.
You shouldn't judge a person by their looks.	පුද්ගලයෙකුගේ පෙනුමෙන් ඔබ විනිශ්චය නොකළ යුතුය.
You'd better consult an attorney beforehand.	ඔබ කලින් නීතිඥයෙකුගෙන් උපදෙස් ලබා ගැනීම වඩා හොඳය.
You'll be able to drive a car in a few days.	දින කිහිපයකින් ඔබට වාහනයක් පැදවීමට හැකි වනු ඇත.
Your behavior is creating a lot of problems.	ඔබේ හැසිරීම බොහෝ ගැටලු ඇති කරයි.
Your wish will come true in the near future.	නුදුරු අනාගතයේ දී ඔබේ පැතුම ඉටු වනු ඇත.
Are the drinks free? "Only for the ladies."	බීම නොමිලේද? "කාන්තාවන් සඳහා පමණි."
Are you from Australia? asked the Filipino.	ඔබ ඕස්ට්‍රේලියාවේ සිටද? පිලිපීන ජාතිකයා ඇසුවේය.
Did she buy a watch? "Yes, she bought one."	ඇය ඔරලෝසුවක් මිලදී ගත්තාද? "ඔව්, ඇය එකක් ගත්තා."
Did you watch TV last week? "No, I didn't."	ඔබ පසුගිය සතියේ රූපවාහිනිය නැරඹුවාද? "නෑ, මම කළේ නැහැ."
Is he going to swim tomorrow? "Yes, he is."	ඔහු හෙට නාන්න යනවාද? "ඔව්, එයා තමයි."
The Gettysburg Address is a concise speech.	ගෙටිස්බර්ග් ලිපිනය සංක්ෂිප්ත කථාවකි.
What should I do next? she said to herself.	මම ඊළඟට කුමක් කළ යුතුද? ඇය තමාටම කියා ගත්තාය.
Where is my notebook? "It is on the chair."	මගේ සටහන් පොත කොහෙද? "ඒක පුටුව උඩ."
Why are you so cool? "I was born this way."	ඇයි ඔච්චර නිහතමානී? "මම ඉපදුනේ මේ විදියට."
Will you pass me the sugar? "Here you are."	මට සීනි දෙනවද? "හියර් යු ආර්."
Will you study after dinner? "Yes, I will."	රෑ කෑමෙන් පස්සේ පාඩම් කරනවද? "ඔව් මම කරන්නම්."
You look pale. Are you sick? "Not exactly."	ඔබ සුදුමැලි පෙනුමක්. ඔයා අසනීපෙන්ද? "හරියටම නෑ."
A good coach is like a father to his players.	හොඳ පුහුණුකරුවෙක් ක්‍රීඩකයන්ට පියෙක් වගේ.
A good coach is like a parent to the players.	හොඳ පුහුණුකරුවෙක් ක්‍රීඩකයන්ට දෙමාපියෙක් වගේ.
A grasshopper and many ants lived in a field.	තණකොළ පෙත්තෙකු සහ කුහුඹුවන් රාශියක් කුඹුරක ජීවත් විය.
A great responsibility lies on his shoulders.	ඔහුගේ උරහිස් මත විශාල වගකීමක් තිබේ.
After slapping Tom, Mary ran out of the room.	ටොම්ට කම්මුල් පහරක් ගැසීමෙන් පසු මේරි කාමරයෙන් පිටතට දිව ගියාය.
Air is a mixture of gases that we cannot see.	වාතය යනු අපට නොපෙනෙන වායු මිශ්‍රණයකි.
All Tom needs is a little love and affection.	ටොම්ට අවශ්‍ය වන්නේ කුඩා ආදරය සහ සෙනෙහස පමණි.
All the signs are that she is getting better.	ඇය හොඳ අතට හැරෙමින් සිටින බව සියලු සලකුණු ය.
Almost everyone that I know can speak French.	මා දන්නා සෑම කෙනෙකුටම පාහේ ප්‍රංශ කතා කළ හැකිය.
Although it rained, everyone had a good time.	වැස්සක් තිබුණත් හැමෝම සතුටින් කාලය ගත කළා.
Among the guests were the mayor and his wife.	අමුත්තන් අතර නගරාධිපති සහ ඔහුගේ බිරිඳ ද විය.
Anyone who has made a promise should keep it.	පොරොන්දුවක් දීපු කෙනෙක් ඒක ඉෂ්ට කරන්න ඕන.
Apart from the weather, it was a good picnic.	කාලගුණය හැරුණු විට එය හොඳ විනෝද චාරිකාවක් විය.
Are Tom and Mary both still living in Boston?	ටොම් සහ මේරි දෙදෙනාම තවමත් බොස්ටන්හි ජීවත් වෙනවාද?
Are both Tom and Mary still living in Boston?	ටොම් සහ මේරි දෙදෙනාම තවමත් බොස්ටන්හි ජීවත් වෙනවාද?
Are there any girls here you haven't met yet?	තවම මුණගැහිලා නැති කෙල්ලෝ ඉන්නවද මෙතන?
Are there any girls here you haven't yet met?	ඔබට තවමත් හමු නොවූ ගැහැණු ළමයින් මෙහි සිටීද?
Are there many Chinese restaurants in Boston?	බොස්ටන්හි බොහෝ චීන අවන්හල් තිබේද?
Are there many poisonous snakes in Australia?	ඕස්ට්‍රේලියාවේ විෂ සහිත සර්පයන් ඕනෑ තරම් සිටිනවාද?
Are you really going to ask Mary to the prom?	ඔබ ඇත්තටම මේරි ප්‍රොම් එකට අහන්නද යන්නේ?
Are you really serious about going to Boston?	ඔබ ඇත්තටම බොස්ටන් වෙත යාම ගැන බරපතලද?
Are you saying you don't know how to do this?	ඔයා කියන්නේ මේක කරන්න දන්නේ නෑ කියලද?
Are you sure it's safe to move this dynamite?	මෙම ඩයිනමයිට් චලනය කිරීම ආරක්ෂිත බව ඔබට විශ්වාසද?
Are you sure you can handle this by yourself?	ඔබට මෙය තනිවම හැසිරවිය හැකි බව ඔබට විශ්වාසද?
As soon as he saw the policeman, he ran away.	පොලිස් නිලධාරියා දුටු සැණින් ඔහු දිව ගියේය.
As soon as she met him, she burst into tears.	ඔහුව මුණගැසුණු විගස ඇය කඳුළු සැලුවාය.
At last, he became aware of his own mistakes.	අන්තිමේදී, ඔහු තමාගේම වැරදි තේරුම් ගත්තේය.
At last, they experienced the joy of victory.	අවසානයේ ඔවුන් ජයග්‍රහණයේ සතුට අත්වින්දා.
Autumn is the best season for going on hikes.	කඳු නැගීම සඳහා හොඳම කාලය සරත් සමයයි.
Be sure to put out the fire before you leave.	පිටත්ව යාමට පෙර ගින්න නිවා දැමීමට වග බලා ගන්න.
Because of his advice, I was able to succeed.	ඔහුගේ උපදෙස් නිසා මට සාර්ථක වෙන්න පුළුවන් වුණා.
Because of rain, we couldn't go to the beach.	වැස්ස නිසා අපිට වෙරළට යන්න බැරි වුණා.
Because of the snow, I couldn't see anything.	හිම නිසා මට කිසිවක් නොපෙනුණි.
Begin with books that are easy to understand.	තේරුම් ගැනීමට පහසු පොත් වලින් පටන් ගන්න.
Both French and English are spoken in Canada.	කැනඩාවේ ප්‍රංශ සහ ඉංග්‍රීසි යන දෙකම කතා කරයි.
Broccoli is one of the healthiest vegetables.	බ්‍රොකොලි යනු සෞඛ්‍ය සම්පන්න එළවළු වලින් එකකි.
Broken glass lay scattered all over the road.	කැඩුණු වීදුරු පාර පුරා විසිරී තිබුණි.
Burn this letter after you finish reading it.	ඔබ එය කියවා අවසන් වූ පසු මෙම ලිපිය පුළුස්සා දමන්න.
Can you do me a favor and take Tom to school?	ඔබට මට උදව්වක් කර ටොම්ව පාසලට රැගෙන යා හැකිද?
Can you guess what type of restaurant it was?	එය කුමන ආකාරයේ අවන්හලක්දැයි ඔබට අනුමාන කළ හැකිද?
Can you tell me how to get to Lincoln Center?	ලින්කන් මධ්‍යස්ථානයට යන්නේ කෙසේදැයි මට කියන්න පුළුවන්ද?
Cheer up! Things are not as bad as you think.	නො කලකිරෙනු! ඔබ සිතන තරම් දේවල් නරක නැත.
Chicken pox is a common sickness in children.	චිකන්පොක්ස් යනු ළමුන් තුළ බහුලව දක්නට ලැබෙන රෝගයකි.
Children were running to and fro in the park.	ළමයින් උද්‍යානයේ එහා මෙහා දුවමින් සිටියහ.
Could you give me your name and phone number?	ඔබට ඔබේ නම සහ දුරකථන අංකය ලබා දිය හැකිද?
Could you help me translate this into French?	ඔබට මෙය ප්‍රංශ භාෂාවට පරිවර්තනය කිරීමට මට උදවු කළ හැකිද?
Could you tell me the Wi-Fi password, please?	කරුණාකර මට Wi-Fi මුරපදය කියන්න පුළුවන්ද?
Did it not occur to you to close the windows?	ජනේල වැසීමට ඔබට සිතුණේ නැද්ද?
Didn't I lend you some books? I'm sure I did.	මම ඔබට පොත් කිහිපයක් ණයට දුන්නේ නැද්ද? මට විශ්වාසයි මම කළා කියලා.
Do you care what other people think about us?	අනිත් අය අපි ගැන මොනවා හිතයිද කියලා ඔබ සැලකිලිමත්ද?
Do you happen to have any photographs of Tom?	ඔබට ටොම්ගේ ඡායාරූප තිබේද?
Do you have any plans to come back to Boston?	ඔබට නැවත බොස්ටන් වෙත පැමිණීමට සැලසුම් තිබේද?
Does Germany share a border with Switzerland?	ජර්මනිය ස්විට්සර්ලන්තය සමඟ දේශසීමා බෙදා ගනීද?
Don't carry too much baggage when you travel.	ඔබ ගමන් කරන විට වැඩිපුර ගමන් මලු රැගෙන නොයන්න.
Don't let me down like you did the other day.	වෙනදා වගේ මාව පහත් කරන්න එපා.
Don't quote me on this, but I agree with you.	මේ ගැන මාව උපුටා දක්වන්න එපා, නමුත් මම ඔබ සමඟ එකඟයි.
Don't worry. The ambulance will be here soon.	කලබල වෙන්න එපා. ගිලන් රථය ඉක්මනින් මෙහි පැමිණෙනු ඇත.
Earthquakes and floods are natural disasters.	භූමිකම්පා සහ ගංවතුර ස්වභාවික විපත් වේ.
English is like a world-wide common language.	ඉංග්‍රීසි කියන්නේ ලෝක ව්‍යාප්ත පොදු භාෂාවක් වගේ.
Even though he apologized, I'm still furious.	එයා සමාව ඉල්ලුවත් මට තාම කේන්තියි.
Everybody laughed at the way Tom was dancing.	ටොම් නටන විදිහට හැමෝම හිනා වුණා.
Everyone could easily see his disappointment.	සෑම කෙනෙකුටම ඔහුගේ බලාපොරොත්තු සුන්වීම පහසුවෙන් දැකගත හැකිය.
Excuse me for opening your letter by mistake.	ඔබේ ලිපිය වැරදීමකින් විවෘත කිරීම ගැන මට සමාවෙන්න.
Five years have gone by since my father died.	තාත්තා නැතිවෙලා අවුරුදු පහක් ගියා.
Football is the most popular sport in Brazil.	පාපන්දු යනු බ්‍රසීලයේ ජනප්‍රියම ක්‍රීඩාවයි.
French and Arabic are spoken in this country.	මේ රටේ ප්‍රංශ සහ අරාබි කතා කරනවා.
Have you been told where the meeting will be?	රැස්වීම පැවැත්වෙන ස්ථානය ඔබට පවසා තිබේද?
Have you ever seen a spider spinning its web?	මකුළුවෙක් දැල කරකවනවා ඔබ කවදා හෝ දැක තිබේද?
Have you read any interesting books recently?	ඔබ මෑතකදී රසවත් පොත් කියවා තිබේද?
He answered all the questions in ten minutes.	ඔහු විනාඩි දහයකින් ප්‍රශ්න සියල්ලටම පිළිතුරු දුන්නේය.
He bent over to see insects in the flowerbed.	ඔහු මල් පාත්තියේ කෘමීන් දැකීමට නැමීය.
He broke the machine by using it incorrectly.	ඔහු යන්ත්‍රය වැරදි ලෙස භාවිතා කර එය කැඩුවා.
He denied knowing anything about their plans.	ඔවුන්ගේ සැලසුම් ගැන කිසිවක් නොදන්නා බව ඔහු ප්‍රතික්ෂේප කළේය.
He fell in love with the girl at first sight.	බැලූ බැල්මට ඔහු තරුණියට ආදරය කළේය.
He had his parents die in the plane accident.	ඔහුගේ දෙමාපියන් ගුවන් අනතුරකින් මිය ගියේය.
He has been writing poems since this morning.	අද උදේ ඉඳන් කවි ලියනවා.
He informed me about the changes in the plan.	සැලැස්මේ වෙනස්කම් ගැන ඔහු මට දැනුම් දුන්නා.
He is leaving Narita for Hawaii this evening.	ඔහු අද සවස නරිටා හැර හවායි බලා පිටත් වේ.
He is proficient in both Spanish and Italian.	ඔහු ස්පාඤ්ඤ සහ ඉතාලි යන භාෂා දෙකෙහිම ප්‍රවීණයෙකි.
He is scheduled to come up to Tokyo tomorrow.	ඔහු හෙට ටෝකියෝ නුවරට පැමිණීමට නියමිතයි.
He laid on his back and looked up at the sky.	ඔහු තම පිටේ වැතිර අහස දෙස බැලුවේය.
He left the room without even saying goodbye.	ඔහු සමු නොදී කාමරයෙන් පිටව ගියේය.
He looked quite handsome in his suit and tie.	ඔහුගේ ඇඳුමෙන් සහ ටයි පටියෙන් ඔහු තරමක් කඩවසම් බව පෙනුනි.
He opened the door, though I told him not to.	මම එපා කිව්වත් එයා දොර ඇරියා.
He played golf every day during his vacation.	ඔහු නිවාඩු කාලය තුළ සෑම දිනකම ගොල්ෆ් ක්රීඩා කළේය.
He produced a rabbit out of his hat by magic.	ඔහු මැජික් මගින් ඔහුගේ තොප්පියෙන් හාවෙකු බිහි කළේය.
He promised me that he wouldn't tell anybody.	ඔහු මට පොරොන්දු වුණා කාටවත් කියන්නේ නැහැ කියලා.
He promised me to come by five at the latest.	එයා මට පොරොන්දු වුණා අන්තිමට පහට එන්න කියලා.
